id,passed
5,1
9,1
21,1
26,1
29,1
32,1
36,1
44,1
51,1
52,1
69,1
71,1
72,1
77,1
98,1
105,1
106,1
113,1
119,1
123,1
126,1
132,1
134,1
140,1
146,1
153,1
157,1
158,1
165,1
166,1
173,1
181,1
188,1
196,1
198,1
202,1
206,1
209,1
211,1
216,1
225,1
227,1
234,1
236,1
237,1
239,1
241,1
242,1
246,1
261,1
262,1
264,1
272,1
274,1
287,1
289,1
294,1
296,1
302,1
313,1
318,1
321,1
327,1
329,1
335,1
339,1
346,1
354,1
355,1
356,1
365,1
368,1
375,1
376,1
379,1
382,1
383,1
405,1
406,1
411,1
416,1
419,1
430,1
442,1
443,1
444,1
447,1
451,1
452,1
454,1
458,1
459,1
475,1
479,1
480,1
484,1
489,1
493,1
494,1
505,1
507,1
512,1
517,1
529,1
530,1
531,1
535,1
540,1
543,1
563,1
573,1
576,1
578,1
583,1
587,1
589,1
596,1
598,1
607,1
611,1
613,1
617,1
620,1
625,1
631,1
632,1
634,1
638,1
645,1
658,1
664,1
667,1
668,1
673,1
674,1
676,1
692,1
694,1
706,1
708,1
713,1
714,1
728,1
740,1
746,1
750,1
751,1
763,1
777,1
782,1
788,1
790,1
794,1
806,1
807,1
812,1
814,1
819,1
836,1
839,1
861,1
862,1
867,1
868,1
879,1
895,1
901,1
905,1
916,1
920,1
924,1
930,1
936,1
939,1
942,1
948,1
950,1
966,1
973,1
993,1
1000,1
1002,1
1005,1
1006,1
1009,1
1014,1
1018,1
1020,1
1030,1
1034,1
1050,1
1059,1
1060,1
1064,1
1068,1
1076,1
1078,1
1088,1
1089,1
1090,1
1097,1
1105,1
1108,1
1109,1
1114,1
1116,1
1118,1
1123,1
1128,1
1134,1
1135,1
1137,1
1145,1
1151,1
1154,1
1161,1
1165,1
1166,1
1168,1
1171,1
1172,1
1178,1
1186,1
1200,1
1201,1
1211,1
1213,1
1214,1
1215,1
1217,1
1219,1
1221,1
1222,1
1224,1
1229,1
1232,1
1241,1
1242,1
1243,1
1250,1
1252,1
1259,1
1266,1
1274,1
1275,1
1280,1
1284,1
1287,1
1299,1
1314,1
1316,1
1318,1
1319,1
1320,1
1322,1
1324,1
1325,1
1328,1
1330,1
1335,1
1343,1
1351,1
1352,1
1355,1
1356,1
1366,1
1369,1
1379,1
1389,1
1391,1
1402,1
1406,1
1410,1
1413,1
1417,1
1428,1
1431,1
1435,1
1437,1
1439,1
1444,1
1445,1
1450,1
1458,1
1467,1
1469,1
1476,1
1479,1
1499,1
1517,1
1529,1
1531,1
1535,1
1543,1
1546,1
1547,1
1549,1
1551,1
1554,1
1558,1
1562,1
1563,1
1567,1
1574,1
1581,1
1599,1
1602,1
1604,1
1607,1
1612,1
1615,1
1623,1
1625,1
1635,1
1636,1
1644,1
1649,1
1650,1
1652,1
1668,1
1673,1
1677,1
1680,1
1696,1
1697,1
1698,1
1699,1
1703,1
1704,1
1709,1
1714,1
1716,1
1721,1
1725,1
1742,1
1745,1
1752,1
1757,1
1775,1
1778,1
1789,1
1793,1
1803,1
1805,1
1812,1
1813,1
1814,1
1818,1
1823,1
1827,1
1834,1
1845,1
1846,1
1859,1
1876,1
1878,1
1882,1
1889,1
1895,1
1917,1
1924,1
1929,1
1930,1
1940,1
1945,1
1948,1
1950,1
1951,1
1952,1
1954,1
1964,1
1967,1
1972,1
